reports_univ,school_candidate,similarity_score
Tampere University of Applied Sciences,Peruvian University of Applied Sciences,88
Alice Salomon University of Applied Sciences,Tampere University of Applied Sciences,88
Alice Salomon University of Applied Sciences,Savonia University of Applied Sciences,88
Dresden University of Applied Sciences,Tampere University of Applied Sciences,88
Augsburg University of Applied Sciences,Tampere University of Applied Sciences,88
Kaiserslautern University of Applied Sciences,Tampere University of Applied Sciences,88
University of Malaga,University of Calgary,88
Darmstadt University of Applied Sciences,Tampere University of Applied Sciences,88
University of Malaya,University of Calgary,88
Kanda University of International Studies,Xi'an International Studies University (西安外国语大学),88
Darmstadt University of Applied Sciences,Savonia University of Applied Sciences,88
University of Malaya,University of Alabama,88
Hochschule Darmstadt University Of Applied Sciences,Tampere University of Applied Sciences,88
Dresden University of Applied Sciences,Peruvian University of Applied Sciences,88
Augsburg University of Applied Sciences,Savonia University of Applied Sciences,88
"Osaka University of Economics and Law
(大阪経済法科大学)",Japan University of Economics,88
Augsburg University of Applied Sciences,Vorarlberg University of Applied Sciences,88
Hochschule Darmstadt University Of Applied Sciences,Savonia University of Applied Sciences,88
University of Verona,University of Siena,87
University of Verona,University of Jaén,87
University of Jaén,Worms University of Applied Sciences,87
University of Burgundy,University of Jaén,87
"College of Humanities & Sciences of 
Northeast Normal University
(东北师范大学人文学院)",University of Jaén,87
University of Jaén,University of Tyumen,87
University of Jaén,University of Vechta,87
University of Jaén,Rostov State University of Economics,87
"University of Nevada, Las Vegas",University of Jaén,87
Tor Vergata University of Rome,University of Jaén,87
University of Economics in Katowice,University of Jaén,87
Metropolitan University Prague,Budapest Metropolitan University,87
Hanze University of Applied Sciences,University of Jaén,87
University of Jaén,Leuphana University of Luneburg,87
University of Jaén,Lucian Blaga University of Sibiu,87
"Beijing University of Posts and Telecommunications, 중국 Donghua University",University of Jaén,87
University of Paris-Est Créteil Val de Marne,University of Jaén,87
University of Minnesota,University of Jaén,87
TH Köln University of Applied Sciences,University of Jaén,87
University of Jaén,University of Mons,87
Vorarlberg University of Applied Sciences,Peruvian University of Applied Sciences,87
University of Jaén,University of Cantabria,87
University of Minnesota,University of Indonesia,87
Augsburg University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,87
ESSCA School of Management,Audencia Nantes School of Management,87
University of Jaén,University of Barcelona,87
University of A Coruña,University of Jaén,87
Japan University of Economics,University of Jaén,87
State University of New York at Stony Brook,University of Jaén,87
SOAS University of London,University of Jaén,87
Augsburg University of Applied Sciences,Peruvian University of Applied Sciences,87
The University of Oklahoma,University of Jaén,87
Illinois Institute of Technology,Dublin Institute of Technology,87
Meiji University,Umeå University,87
Augsburg University of Applied Sciences,The Hague University of Applied Sciences,87
University of Leicester,University of Jaén,87
European University of Applied Sciences,Helsinki Metropolia University of Applied Sciences,87
Muenster University of Applied Sciences,University of Jaén,87
Muenster University of Applied Sciences,Vorarlberg University of Applied Sciences,87
European University of Applied Sciences,Vorarlberg University of Applied Sciences,87
Athens University of Economics and Business,University of Jaén,87
Helsinki Metropolia University of Applied Sciences,University of Jaén,87
Nagoya University of Foreign Studies,University of Jaén,87
University of Barcelona,University of Jaén,87
Saxion University of Applied Sciences,University of Jaén,87
European University of Applied Sciences,University of Jaén,87
Helsinki Metropolia University of Applied Sciences,Peruvian University of Applied Sciences,87
The University of Mississippi,University of Jaén,87
University of Málaga,University of Jaén,87
Augsburg University of Applied Sciences,Kaiserslautern University of Applied Sciences,87
University of Hradec Kralove,University of Jaén,87
Tampere University of Applied Sciences,University of Jaén,87
European University of Applied Sciences,Kaiserslautern University of Applied Sciences,87
Illinois Institute of Technology,Sonora Institute of Technology,87
Augsburg University of Applied Sciences,University of Jaén,87
University of Jaén,Athens University of Economics and Business,87
